Pubmed_ID,Title,Author,Source,Abstract
32654587,Steroid androgen 17 alpha methyltestosterone used in fish farming induces biochemical alterations in zebrafish adults.,"Rivero-Wendt CLG, Miranda-Vilela AL, Domingues I, Oliveira R, Monteiro MS, Moura-Mello MAM, Matias R, Soares AMVM, Grisolia CK",J Environ Sci Health A Tox Hazard Subst Environ Eng. 2020 Jul 11:1-12. doi: 10.1080/10934529.2020.1790954.,"The 17 alpha methyltestosterone (MT) hormone is fed to Oreochromis niloticus larvae in fish farms with the purpose of inducing sex reversal. The aim of this study was to evaluate the toxicity and sub-lethality of MT (99.9% purity) and cMT (a commercial MT with 90% purity) in zebrafish (Danio rerio) adults, where the animals were exposed to concentrations of 0, 4, 23, 139, 833 and 5000 microg/L for 96 hours. Genotoxicity was evaluated by micronucleus test (MN), nuclear abnormalities (NA) and comet assay. A low genotoxic potential of MT was showed, inducing micronucleus, nuclear abnormalities and DNA damage in Danio rerio, depending on the use of MT or cMT, gender and tested concentrations. In the sub-lethality trials, there was a basal difference in the activity of the enzymatic biochemical markers for males and females, while the Glutatione S transferase (GST) activity decreased in all analyzed tissues, and for males the enzymatic activity decreased only in the intestine. Results suggest that MT has a toxic potential to fish because it alters enzymatic metabolic pathways and may pose a risk to the ecosystems."
32194632,Beta-Hydroxysteroid Dehydrogenase Genes in Orange-Spotted Grouper (Epinephelus coioides): Genome-Wide Identification and Expression Analysis During Sex Reversal.,"Xiao L, Guo Y, Wang D, Zhao M, Hou X, Li S, Lin H, Zhang Y",Front Genet. 2020 Mar 4;11:161. doi: 10.3389/fgene.2020.00161. eCollection 2020.,"Beta-hydroxysteroid dehydrogenases (beta-HSDs) are a group of steroidogenic enzymes that are involved in steroid biosynthesis and metabolism, and play a crucial role in mammalian physiology and development, including sex determination and differentiation. In the present study, a genome-wide analysis identified the numbers of beta-hsd genes in orange-spotted grouper (Epinephelus coioides) (19), human (Homo sapiens) (22), mouse (Mus musculus) (24), chicken (Gallus gallus) (16), xenopus (Xenopus tropicalis) (24), coelacanth (Latimeria chalumnae) (17), spotted gar (Lepisosteus oculatus) (14), zebrafish (Danio rerio) (19), fugu (Takifugu rubripes) (19), tilapia (Oreochromis niloticus) (19), medaka (Oryzias latipes) (19), stickleback (Gasterosteus aculeatus) (17) and common carp (Cyprinus carpio) (27) samples. A comparative analysis revealed that the number of beta-hsd genes in teleost fish was no greater than in tetrapods due to gene loss followed by a teleost-specific whole-genome duplication event. Based on transcriptome data from grouper brain and gonad samples during sex reversal, six beta-hsd genes had relatively high expression levels in the brain, indicating that these genes may be required for neurogenesis or the maintenance of specific biological processes in the brain. In the gonad, two and eight beta-hsd genes were up- and downregulated, respectively, indicating their important roles in sex reversal. Our results demonstrated that beta-hsd genes may be involved in the sex reversal of grouper by regulating the synthesis and metabolism of sex steroid hormones."
31910818,Anti-masculinization induced by aromatase inhibitors in adult female zebrafish.,"Chen L, Wang L, Cheng Q, Tu YX, Yang Z, Li RZ, Luo ZH, Chen ZX",BMC Genomics. 2020 Jan 7;21(1):22. doi: 10.1186/s12864-019-6437-z.,"BACKGROUND: Early sex differentiation genes of zebrafish remain an unsolved mystery due to the difficulty to distinguish the sex of juvenile zebrafish. However, aromatase inhibitors (AIs) could direct juvenile zebrafish sex differentiation to male and even induce ovary-to-testis reversal in adult zebrafish. RESULTS: In order to determine the transcriptomic changes of sex differentiation in juvenile zebrafish and early sex-reversal in adult zebrafish, we sequenced the transcriptomes of juvenile and adult zebrafish treated with AI exemestane (EM) for 32 days, when juvenile zebrafish sex differentiation finished. EM treatment in females up-regulated the expression of genes involved in estrogen metabolic process, female gamete generation and oogenesis, including gsdf, macf1a and paqr5a, while down-regulated the expression of vitellogenin (vtg) genes, including vtg6, vtg2, vtg4, and vtg7 due to the lower level of Estradiol (E2). Furthermore, EM-juveniles showed up-regulation in genes related to cell death and apoptosis, such as bcl2l16 and anax1c, while the control-juveniles exhibited up-regulation of genes involved in positive regulation of reproductive process and oocyte differentiation such as zar1 and zpcx. Moreover, EM-females showed higher enrichment than control females in genes involved in VEGF signaling pathway, glycosaminoglycan degradation, hedgehog signaling pathway, GnRH signaling pathway and steroid hormone biosynthesis. CONCLUSIONS: Our study shows anti-masculinization in EM-treated adult females but not in EM-treated juveniles. This may be responsible for the lower sex plasticity in adults than juveniles."
31899193,Mummichog (Fundulus heteroclitus) are less sensitive to 17alpha-ethinylestradiol (EE2) than other common model teleosts: A comparative review of reproductive effects.,"Rutherford R, Lister A, Bosker T, Blewett T, Gillio Meina E, Chehade I, Kanagasabesan T, MacLatchy D",Gen Comp Endocrinol. 2020 Apr 1;289:113378. doi: 10.1016/j.ygcen.2019.113378. Epub 2019 Dec 31.,"The environmental estrogen 17alpha-ethinylestradiol (EE2) will depress or completely inhibit egg production in many common model teleosts at low concentrations (</=0.5 ng/L; Runnalls et al., 2015). This inhibition is not seen in the estuarine killifish, or mummichog (Fundulus heteroclitus), even when exposed to 100 ng/L EE2. This relative insensitivity to EE2 exposure indicates species-specific mechanisms for compensating for exogenous estrogenic exposure. This review compares various reproductive responses elicited by EE2 in mummichog to other common model teleosts, such as zebrafish (Danio rerio) and fathead minnow (Pimephales promelas), identifying key endpoints where mummichog differ from other studied fish. For example, EE2 accumulates primarily in the liver/gall bladder of mummichog, which is different than zebrafish and fathead minnow in which accumulation is predominantly in the carcass. Despite causing species-specific differences in fecundity, EE2 has been shown to consistently induce hepatic vitellogenin in males and cause feminization/sex reversal during gonadal differentiation in larval mummichog, similar to other species. In addition, while gonadal steroidogenesis and plasma steroid levels respond to exogenous EE2, it is generally at higher concentrations than observed in other species. In mummichog, production of 17beta-estradiol (E2) by full grown ovarian follicles remains high; unlike other teleost models where E2 synthesis decreases as 17alpha,20beta-dihydroxy-4-prenen-3-on levels increase to induce oocyte maturation. New evidence in mummichog indicates some dissimilarity in gonadal steroidogenic gene expression responses compared to gene expression responses in zebrafish and fathead minnow exposed to EE2. The role of ovarian physiology continues to warrant investigation regarding the tolerance of mummichog to exogenous EE2 exposure. Here we present a comprehensive review, highlighting key biological differences in response to EE2 exposure between mummichog and other commonly used model teleosts."
31319296,Male-biased zebrafish sex differentiation and metabolomics profile changes caused by dydrogesterone.,"Jiang YX, Shi WJ, Ma DD, Zhang JN, Ying GG, Zhang H, Ong CN",Aquat Toxicol. 2019 Sep;214:105242. doi: 10.1016/j.aquatox.2019.105242. Epub 2019 Jul 11.,"Some progestins, including the widely used dydrogesterone (DDG), have been shown to cause male-biased sex ratio in teleost. However, there is a gap to fully understand the mechanisms of the sex differentiation disturbance by progestins, particularly from the metabolic aspect. We thus aimed to examine the sex changes by exposing zebrafish embryos to 4.4 (L), 44 (M) and 440 (H) ng/L DDG for up to 140 days, and investigated metabolomic profile changes during the critical period of sex differentiation at fry stage (35 dpf). DDG increased the percentage of male zebrafish in a dose-dependent manner, with 98% male fish in the high concentration group. In zebrafish fry, DDG increased the levels of some free fatty acids, monoglycerides, acylcarnitines, organic acids, free amino acids, while decreased lysophospholipids, uric acid and bile acids. DDG exposure also decreased the nucleoside monophosphates and UDP-sugars while increased nucleosides and their bases. These metabolite changes, namely increase in n-3 PUFAs (polyunsaturated fatty acids), myo-inositol, taurine, palmitoleic acid, oleic acid, lactic acid, fumaric acid, and uracil, and decrease in uric acid and bile acids, might account for the male-biased sex ratio in zebrafish. It appears that many of these metabolites could inhibit several pathways that regulate zebrafish gonad differentiation, including NF-kappaB/COX-2 and Wnt/beta-catenin pathways, and activate p53 pathway. Thus we proposed a hypothesis that DDG might induce oocytes apoptosis through the above pathways and finally lead to female-to-male sex reversal. The results from this study suggest that DDG at environmentally relevant concentrations could affect zebrafish metabolomic profiles and finally disturb fish sex differentiation."
30540754,"Multiplexed CRISPR/Cas9-mediated knockout of 19 Fanconi anemia pathway genes in zebrafish revealed their roles in growth, sexual development and fertility.","Ramanagoudr-Bhojappa R, Carrington B, Ramaswami M, Bishop K, Robbins GM, Jones M, Harper U, Frederickson SC, Kimble DC, Sood R, Chandrasekharappa SC",PLoS Genet. 2018 Dec 12;14(12):e1007821. doi: 10.1371/journal.pgen.1007821. eCollection 2018 Dec.,"Fanconi Anemia (FA) is a genomic instability syndrome resulting in aplastic anemia, developmental abnormalities, and predisposition to hematological and other solid organ malignancies. Mutations in genes that encode proteins of the FA pathway fail to orchestrate the repair of DNA damage caused by DNA interstrand crosslinks. Zebrafish harbor homologs for nearly all known FA genes. We used multiplexed CRISPR/Cas9-mediated mutagenesis to generate loss-of-function mutants for 17 FA genes: fanca, fancb, fancc, fancd1/brca2, fancd2, fance, fancf, fancg, fanci, fancj/brip1, fancl, fancm, fancn/palb2, fanco/rad51c, fancp/slx4, fancq/ercc4, fanct/ube2t, and two genes encoding FA-associated proteins: faap100 and faap24. We selected two indel mutations predicted to cause premature truncations for all but two of the genes, and a total of 36 mutant lines were generated for 19 genes. Generating two independent mutant lines for each gene was important to validate their phenotypic consequences. RT-PCR from homozygous mutant fish confirmed the presence of transcripts with indels in all genes. Interestingly, 4 of the indel mutations led to aberrant splicing, which may produce a different protein than predicted from the genomic sequence. Analysis of RNA is thus critical in proper evaluation of the consequences of the mutations introduced in zebrafish genome. We used fluorescent reporter assay, and western blots to confirm loss-of-function for several mutants. Additionally, we developed a DEB treatment assay by evaluating morphological changes in embryos and confirmed that homozygous mutants from all the FA genes that could be tested (11/17), displayed hypersensitivity and thus were indeed null alleles. Our multiplexing strategy helped us to evaluate 11 multiple gene knockout combinations without additional breeding. Homozygous zebrafish for all 19 single and 11 multi-gene knockouts were adult viable, indicating FA genes in zebrafish are generally not essential for early development. None of the mutant fish displayed gross developmental abnormalities except for fancp-/- fish, which were significantly smaller in length than their wildtype clutch mates. Complete female-to-male sex reversal was observed in knockouts for 12/17 FA genes, while partial sex reversal was seen for the other five gene knockouts. All adult females were fertile, and among the adult males, all were fertile except for the fancd1 mutants and one of the fancj mutants. We report here generation and characterization of zebrafish knockout mutants for 17 FA disease-causing genes, providing an integral resource for understanding the pathophysiology associated with the disrupted FA pathway."
29851175,Why are triploid zebrafish all male?,"Delomas TA, Dabrowski K",Mol Reprod Dev. 2018 Jul;85(7):612-621. doi: 10.1002/mrd.22998. Epub 2018 Jul 16.,"Adult triploid zebrafish Danio rerio has previously been reported to be all male. This phenomenon has only been reported in one other gonochoristic fish species, the rosy bitterling Rhodeus ocellatus, despite the fact that triploidy is induced in numerous species. To investigate the mechanism responsible, we first produced triploid zebrafish and observed gonad development. Histological sections of juvenile triploid gonads showed that primary growth oocytes were able to develop in the juvenile ovary, but no cortical alveolus or more advanced oocytes were found. All adult triploids examined were male (n = 160). Male triploids were able to induce oviposition by diploid females during natural spawning trials, but fertilization rates were low (1.0 +/- 3.1%) compared with diploid male siblings (67.4 +/- 16.6%). The embryos produced by triploid sires were aneuploid with a mean ploidy of 2.4 +/- 0.1n, demonstrating that triploid males produce aneuploid spermatozoa. After confirming that adult triploids are all male, we produced an additional batch of triploid zebrafish and exposed them (and a group of diploid siblings) to 100 ng/L estradiol (E2) from 5 to 28 dpf. The E2 treated triploids and nontreated triploids were all male. The nontreated diploids were also all male, but the E2 treated diploids were 89% female. This demonstrates that triploidy acts downstream of estrogen synthesis in the sex differentiation pathway to induce male development. Based on this and the observations of juvenile gonad development in triploids, we suggest that triploidy inhibits development of oocytes past the primary growth stage, and this causes female to male sex reversal."
29735715,ZNRF3 functions in mammalian sex determination by inhibiting canonical WNT signaling.,"Harris A, Siggers P, Corrochano S, Warr N, Sagar D, Grimes DT, Suzuki M, Burdine RD, Cong F, Koo BK, Clevers H, Stevant I, Nef S, Wells S, Brauner R, Ben Rhouma B, Belguith N, Eozenou C, Bignon-Topalovic J, Bashamboo A, McElreavey K, Greenfield A",Proc Natl Acad Sci U S A. 2018 May 22;115(21):5474-5479. doi: 10.1073/pnas.1801223115. Epub 2018 May 7.,"Mammalian sex determination is controlled by the antagonistic interactions of two genetic pathways: The SRY-SOX9-FGF9 network promotes testis determination partly by opposing proovarian pathways, while RSPO1/WNT-beta-catenin/FOXL2 signals control ovary development by inhibiting SRY-SOX9-FGF9. The molecular basis of this mutual antagonism is unclear. Here we show that ZNRF3, a WNT signaling antagonist and direct target of RSPO1-mediated inhibition, is required for sex determination in mice. XY mice lacking ZNRF3 exhibit complete or partial gonadal sex reversal, or related defects. These abnormalities are associated with ectopic WNT/beta-catenin activity and reduced Sox9 expression during fetal sex determination. Using exome sequencing of individuals with 46,XY disorders of sex development, we identified three human ZNRF3 variants in very rare cases of XY female presentation. We tested two missense variants and show that these disrupt ZNRF3 activity in both human cell lines and zebrafish embryo assays. Our data identify a testis-determining function for ZNRF3 and indicate a mechanism of direct molecular interaction between two mutually antagonistic organogenetic pathways."
28838139,Mutation of foxl2 or cyp19a1a Results in Female to Male Sex Reversal in XX Nile Tilapia.,"Zhang X, Li M, Ma H, Liu X, Shi H, Li M, Wang D",Endocrinology. 2017 Aug 1;158(8):2634-2647. doi: 10.1210/en.2017-00127.,"It is well accepted that Forkhead box protein L2 (Foxl2) and aromatase (Cyp19a1; the enzyme responsible for estrogen synthesis) are critical for ovarian development in vertebrates. Knockouts of Foxl2 and Cyp19a1 in goat, mouse, and zebrafish have revealed similar but not identical functions across species. Functional analyses of these two genes in other animals are needed to elucidate their conserved roles in vertebrate sexual development. In this study, we established foxl2 and cyp19a1a mutant lines in Nile tilapia. Both foxl2-/- and cyp19a1a-/- XX fish displayed female-to-male sex reversal. Sf1, Dmrt1, and Gsdf were upregulated in the foxl2-/- and the cyp19a1a-/- XX gonads. Downregulation of Cyp19a1a and serum estradiol-17beta level, and upregulation of Cyp11b2 and serum 11-ketotestosterone level were observed in foxl2-/- XX fish. The mutant phenotype of foxl2-/- XX individuals could be rescued by 17beta-estradiol treatment from 5 to 30 days after hatching (dah). Upregulation of Star1, the enzyme involved in androgen production in tilapia, was also observed in the foxl2-/- XX gonad at 30 and 90 dah. In vitro promoter analyses consistently demonstrated that Foxl2 could suppress the transcription of star1 in a dose-dependent manner. In addition, compared with the control XX gonad, fewer germ cells were detected in the foxl2-/- XX, cyp19a1a-/- XX, and control XY gonads 10 dah. These results demonstrate that Foxl2 promotes ovarian development by upregulating Cyp19a1a expression and repressing male pathway gene expression. These results extend the study of Foxl2 and Cyp19a1a loss of function to a commercially important fish species."
28738802,Histological and transcriptomic effects of 17alpha-methyltestosterone on zebrafish gonad development.,"Lee SLJ, Horsfield JA, Black MA, Rutherford K, Fisher A, Gemmell NJ",BMC Genomics. 2017 Jul 24;18(1):557. doi: 10.1186/s12864-017-3915-z.,"BACKGROUND: Sex hormones play important roles in teleost ovarian and testicular development. In zebrafish, ovarian differentiation appears to be dictated by an oocyte-derived signal via Cyp19a1a aromatase-mediated estrogen production. Androgens and aromatase inhibitors can induce female-to-male sex reversal, however, the mechanisms underlying gonadal masculinisation are poorly understood. We used histological analyses together with RNA sequencing to characterise zebrafish gonadal transcriptomes and investigate the effects of 17alpha-methyltestosterone on gonadal differentiation. RESULTS: At a morphological level, 17alpha-methyltestosterone (MT) masculinised gonads and accelerated spermatogenesis, and these changes were paralleled in masculinisation and de-feminisation of gonadal transcriptomes. MT treatment upregulated expression of genes involved in male sex determination and differentiation (amh, dmrt1, gsdf and wt1a) and those involved in 11-oxygenated androgen production (cyp11c1 and hsd11b2). It also repressed expression of ovarian development and folliculogenesis genes (bmp15, gdf9, figla, zp2.1 and zp3b). Furthermore, MT treatment altered epigenetic modification of histones in zebrafish gonads. Contrary to expectations, higher levels of cyp19a1a or foxl2 expression in control ovaries compared to MT-treated testes and control testes were not statistically significant during early gonad development (40 dpf). CONCLUSION: Our study suggests that both androgen production and aromatase inhibition are important for androgen-induced gonadal masculinisation and natural testicular differentiation in zebrafish."
