Pubmed_ID,Title,Author,Source,Abstract
32316525,Integration of ATAC-seq and RNA-seq Unravels Chromatin Accessibility during Sex Reversal in Orange-Spotted Grouper (Epinephelus coioides).,"Wu X, Yang Y, Zhong C, Guo Y, Wei T, Li S, Lin H, Liu X",Int J Mol Sci. 2020 Apr 17;21(8). pii: ijms21082800. doi: 10.3390/ijms21082800.,"Chromatin structure plays a pivotal role in maintaining the precise regulation of gene expression. Accessible chromatin regions act as the binding sites of transcription factors (TFs) and cis-elements. Therefore, information from these open regions will enhance our understanding of the relationship between TF binding, chromatin status and the regulation of gene expression. We employed an assay for transposase-accessible chromatin with high-throughput sequencing (ATAC-seq) and RNA-seq analyses in the gonads of protogynous hermaphroditic orange-spotted groupers during sex reversal to profile open chromatin regions and TF binding sites. We focused on several crucial TFs, including ZNF263, SPIB, and KLF9, and analyzed the networks of TF-target genes. We identified numerous transcripts exhibiting sex-preferred expression among their target genes, along with their associated open chromatin regions. We then investigated the expression patterns of sex-related genes as well as the mRNA localization of certain genes during sex reversal. We found a set of sex-related genes that-upon further study-might be identified as the sex-specific or cell-specific marker genes that trigger sex reversal. Moreover, we discovered the core genes (gnas, ccnb2, and cyp21a) of several pathways related to sex reversal that provide the guideposts for future study."
32194632,Beta-Hydroxysteroid Dehydrogenase Genes in Orange-Spotted Grouper (Epinephelus coioides): Genome-Wide Identification and Expression Analysis During Sex Reversal.,"Xiao L, Guo Y, Wang D, Zhao M, Hou X, Li S, Lin H, Zhang Y",Front Genet. 2020 Mar 4;11:161. doi: 10.3389/fgene.2020.00161. eCollection 2020.,"Beta-hydroxysteroid dehydrogenases (beta-HSDs) are a group of steroidogenic enzymes that are involved in steroid biosynthesis and metabolism, and play a crucial role in mammalian physiology and development, including sex determination and differentiation. In the present study, a genome-wide analysis identified the numbers of beta-hsd genes in orange-spotted grouper (Epinephelus coioides) (19), human (Homo sapiens) (22), mouse (Mus musculus) (24), chicken (Gallus gallus) (16), xenopus (Xenopus tropicalis) (24), coelacanth (Latimeria chalumnae) (17), spotted gar (Lepisosteus oculatus) (14), zebrafish (Danio rerio) (19), fugu (Takifugu rubripes) (19), tilapia (Oreochromis niloticus) (19), medaka (Oryzias latipes) (19), stickleback (Gasterosteus aculeatus) (17) and common carp (Cyprinus carpio) (27) samples. A comparative analysis revealed that the number of beta-hsd genes in teleost fish was no greater than in tetrapods due to gene loss followed by a teleost-specific whole-genome duplication event. Based on transcriptome data from grouper brain and gonad samples during sex reversal, six beta-hsd genes had relatively high expression levels in the brain, indicating that these genes may be required for neurogenesis or the maintenance of specific biological processes in the brain. In the gonad, two and eight beta-hsd genes were up- and downregulated, respectively, indicating their important roles in sex reversal. Our results demonstrated that beta-hsd genes may be involved in the sex reversal of grouper by regulating the synthesis and metabolism of sex steroid hormones."
32006674,"Identification and characterization of germ cell genes vasa and dazl in a protogynous hermaphrodite fish, orange-spotted grouper (Epinephelus coioides).","Qu L, Wu X, Liu M, Zhong C, Xu H, Li S, Lin H, Liu X",Gene Expr Patterns. 2020 Jan;35:119095. doi: 10.1016/j.gep.2020.119095. Epub 2020 Jan 30.,"Vasa and dazl genes have been reported to play pivotal roles in germ cell development and differentiation both in vertebrates and invertebrates; however, little is known about their functions in germ cell differentiation during gametogenesis and sex reversal in hermaphroditic fish. In the present study, vasa (Ecvasa) and dazl (Ecdazl) cDNA were cloned from orange-spotted grouper (Epinephelus coioides). The full-length cDNA sequences of Ecvasa and Ecdazl were 2162 and 2101 bp, and encoded 646 and 214 amino acid residues, respectively. Reversal transcription PCR showed that Ecvasa and Ecdazl mRNA were highly expressed in the gonads. Further, in situ hybridization revealed that Ecvasa and Ecdazl RNA were dynamically expressed in germ cells at different stages during oogenesis, sex reversal, and spermatogenesis in orange-spotted grouper. Intriguingly, the signals for Ecvasa and Ecdazl mRNA became weaker in oocytes of ovo-testes gonads, indicating that the expression of germ cell genes could be suppressed in oocytes during sex reversal in the orange-spotted grouper. Our study is the first time to describe the expression profiles of vasa and dazl mRNA in germ cells during gametogenesis and sex reversal in the orange-spotted grouper. These findings will provide new insights into understanding the mechanisms through which vasa and dazl regulate germ cell differentiation in hermaphrodite fish species."
31891771,"An estradiol-17beta/miRNA-26a/cyp19a1a regulatory feedback loop in the protogynous hermaphroditic fish, Epinephelus coioides.","Yu Q, Peng C, Ye Z, Tang Z, Li S, Xiao L, Liu S, Yang Y, Zhao M, Zhang Y, Lin H",Mol Cell Endocrinol. 2020 Mar 15;504:110689. doi: 10.1016/j.mce.2019.110689. Epub 2019 Dec 28.,"Cyp19a1a is a key gene responsible for the production of estradiol-17beta (E2), the main functional estrogen and a major downstream regulator of reproduction in teleost fish. It is widely known that CYP19 gene expression, aromatase activity, and E2 production can influence gonadal differentiation and sex reversal in teleost fish, but the feedback mechanisms whereby E2 regulates cyp19a1a remain poorly understood, especially regarding the potential roles of endogenous small RNA molecules (miRNAs). Here, we identified miR-26a-5p as a regulatory factor of its predicted target gene (cyp19a1a). In vitro and in vivo studies showed that miR-26a-5p can decrease cyp19a1a expression. Furthermore, high doses of E2 act as a repressor of miR-26a-5p. This study proposes a regulatory feedback loop whereby E2 regulates cyp19a1a through miR-26a-5p, and suggests that this positive feedback is an important aspect of the control of E2 production."
30910559,"Molecular characterization and expression patterns of stem-loop binding protein (SLBP) genes in protogynous hermaphroditic grouper, Epinephelus coioides.","Wu X, Qu L, Li S, Guo Y, He J, Liu M, Liu X, Lin H",Gene. 2019 Jun 5;700:120-130. doi: 10.1016/j.gene.2019.02.092. Epub 2019 Mar 23.,"Stem-loop binding protein (SLBP) binds a stem-loop structure of the mRNA, which is important for the stability of histone mRNAs and translation process. In the present study, two slbp cDNAs (Ecslbp1 and Ecslbp2) were cloned from a protogynous hermaphroditic orange-spotted grouper, Epinephelus coioides. Ecslbp1 cDNA contained a 678 base pair (bp) open reading frame (ORF), encoding a predicted polypeptide of 225 amino acids. Ecslbp2 cDNA contained a 1041bp, encoding a predicted protein of 346 amino acids. The result of real-time PCR revealed that Ecslbp2 mRNA was exclusively detected in the ovary. Moreover, it was found to be restricted to oocytes according to in situ hybridization (ISH) analysis. Ecslbp2 was found to be hardly detected in gonia and significantly increase in the cytoplasm of primary-growth stage oocytes, but decreased during the process of vitellogenesis. Interestingly, Ecslbp2 expression centralized as a perinuclear speckle in early-primary-growth stage oocytes, which appeared to form into the Balbiani body (Bb) in late-primary-growth stage oocytes. These data indicated that Ecslbp2 might play an important role in the process of oocyte development, and could serve as an oocyte-specific molecular marker for the study of ovary development and sex reversal in groupers."
30684293,"Socially controlled male-to-female sex reversal in the protogynous orange-spotted grouper, Epinephelus coioides.","Chen J, Xiao L, Peng C, Ye Z, Wang D, Yang Y, Zhang H, Zhao M, Li S, Lin H, Zhang Y",J Fish Biol. 2019 Mar;94(3):414-421. doi: 10.1111/jfb.13911. Epub 2019 Feb 20.,"Socially controlled sex change in teleosts is a dramatic example of adaptive reproductive plasticity. In many cases, the occurrence of sex change is triggered by a change in the social context, such as the disappearance of the dominant individual. The orange-spotted grouper Epinephelus coioides is a typical protogynous hermaphrodite fish that changes sex from female to male and remains male throughout its life span. In this study, male-to-female sex reversal in male Epinephelus coioides was successfully induced by social isolation. The body length and mass, gonadal change, serum sex steroid hormone levels and sex-related gene expression patterns during the process of socially controlled male-to-female sex reversal in E. coioides were systematically examined. This report investigates the physiological mechanisms of the socially controlled male-to-female sex reversal process in a protogynous hermaphrodite grouper species. The results enable us to study the physiological control of sex change, not only from female to male, but also from male to female."
30594589,Expression profiles of dmrts and foxls during gonadal development and sex reversal induced by 17alpha-methyltestosterone in the orange-spotted grouper.,"Lyu Q, Hu J, Yang X, Liu X, Chen Y, Xiao L, Liu Y, Wang Q, Chen J, Huang M, Yu Z, Yang H, Shi H, Zhang Y, Zhao H",Gen Comp Endocrinol. 2019 Apr 1;274:26-36. doi: 10.1016/j.ygcen.2018.12.014. Epub 2018 Dec 28.,"The orange-spotted grouper, Epinephelus coioides, is a marine protogynous hermaphrodite fish of commercial importance. There are many examples of sex change species among marine fish, but the molecular basis for the sex change is still unknown. Gonadal expression patterns of the dmrts and foxls genes in E. coioides have pointed to sexual dimorphism in this species and it has been shown that mRNA levels of dmrts and foxls to vary significantly during reproduction cycles. The steroid 17alpha-methyltestosterone was used to induce sex reversal in these fish, during which dmrts and foxls levels changed significantly and subsequently reverted to normal when 17alpha-methyltestosterone was withdrawn. Interestingly, the expression of dmrt2b and dmrt3 was not affected by this steroid. We speculate that the role of foxl2 in reproduction may be conserved via regulation of early differentiation of the ovary by the hypothalamus-pituitary-gonad axis, and dmrt2 may have a significant role in premature ovarian differentiation and maintenance in E. coioides. dmrt1 and foxl3 played a role in the development of the testes and are believed to be potential male regulatory genes."
30418499,"The co-administration of estradiol/17alpha-methyltestosterone leads to male fate in the protogynous orange-spotted grouper, Epinephelus coioides.","Huang M, Wang Q, Chen J, Chen H, Xiao L, Zhao M, Zhang H, Li S, Liu Y, Zhang Y, Lin H",Biol Reprod. 2019 Mar 1;100(3):745-756. doi: 10.1093/biolre/ioy211.,"Estrogen plays a pivotal role in the sex differentiation of teleosts, whereas the precise function of androgens is more controversial. In this study, orange-spotted grouper (Epinephelus coioides) fry were treated with letrozole (an aromatase inhibitor, AI), 17alpha-methyltestosterone (MT), or MT and 17beta-estradiol (E2) simultaneously, during the period of gonadal formation and sex differentiation. MT feeding at 50 days after hatching resulted in gonadal dysgenesis, which could be rescued by E2 supplementation. Different doses of AI treatment led to different phenotypes: undifferentiated gonads were maintained in the AI group fed a low dose (5 mg/kg diet), whereas female-to-male sex reversal was observed in the AI group fed a high dose (100 mg/kg diet). MT and MT + E2 treatment could induce female-to-male sex reversal during sex differentiation (90 days after hatching). The expression of female pathway genes was suppressed, while the expression of genes in the male pathway was up-regulated in the MT + E2 group. Consistent with the expression of sex-related genes, the serum 11- ketotestosterone level was also upregulated in MT and MT + E2 group. Finally, we examined the expression of male-specific mark (DMRT1) and proliferating cell nuclear antigen in MT and MT + E2 induced sex reversal, and the result indicated that male germ cells and somatic cells may origin from the gonium and proliferative somatic cells surrounding the efferent duct, respectively. Overall, our data suggested that estrogen acts as a natural inducer of female differentiation, and that the co-administration of estrogen and androgen during sex differentiation leads to a male sex fate in the protogynous orange-spotted grouper."
30235790,MT-Feeding-Induced Impermanent Sex Reversal in the Orange-Spotted Grouper during Sex Differentiation.,"Wang Q, Huang M, Peng C, Wang X, Xiao L, Wang D, Chen J, Zhao H, Zhang H, Li S, Yang H, Liu Y, Lin H, Zhang Y",Int J Mol Sci. 2018 Sep 19;19(9). pii: ijms19092828. doi: 10.3390/ijms19092828.,"In this study, we systematically investigated the process of sex reversal induced by 17-methyltestosterone (MT) feeding and MT-feeding withdrawal at the ovary differentiation stage in orange-spotted groupers, Epinephelus coioides. Gonadal histology showed that MT feeding induced a precocious sex reversal from immature ovaries to testes, bypassing the formation of an ovarian cavity, and MT-feeding withdrawal led to an ovarian fate. In both the MT feeding and MT-feeding withdrawal phases, cytochrome P450 family 11 subfamily B (cyp11b) gene expression and serum 11-KT levels were not significantly changed, suggesting that the MT-treated fish did not generate endogenous steroids, even though active spermatogenesis occurred. Finally, by tracing doublesex-expressing and Mab-3-related transcription factor 1 (dmrt1)-expressing cells and TUNEL (terminal deoxynucleotidyl transferase 2-deoxyuridine, 5-triphosphate nick end labeling) assays, we found that the efferent duct formed first, and then, the germ cells and somatic cells of the testicular tissue were generated around the efferent duct during MT-feeding-induced precocious sex reversal. Collectively, our findings provide insights into the molecular and cellular mechanisms underlying sex reversal induced by exogenous hormones during sex differentiation in the protogynous orange-spotted grouper."
30010724,Female-to-male sex reversal in orange-spotted grouper (Epinephelus coioides) caused by overexpressing of Amh in vivo.,"Han Y, Peng C, Wang L, Guo J, Lu M, Chen J, Liu Y, Li S, Zhao M, Zhang Y, Lin H",Biol Reprod. 2018 Dec 1;99(6):1205-1215. doi: 10.1093/biolre/ioy157.,"A variety of mechanisms are involved in sex determination in vertebrates. The orange-spotted grouper (Epinephelus coioides), a teleost fish, functions first as females and later as a male and is an ideal model to investigate the regulation of sexual fate. Here, we report female-to-male sex reversal in juvenile orange-spotted groupers caused by overexpressing anti-Mullerian hormone (Amh). Tissue distribution analyses showed that amh and amhrII primarily expressed in the gonad, and expression level in the testis was much higher than that in the ovary. In gonads, the expression of amh was located in the Sertoli cells around spermatogonia of the testis and in the zona pellucida of the mature ovary, and the expression of amhrII was located in the Sertoli cells of the testis and in the oocytes of the ovary. Decrease in female-related genes and serum 17beta-estradiol level, increase in male-related genes and serum 11-ketotestosterone, ovarian regression, and spermatogonia proliferation were observed during plasmid feeding experiment. These results illustrate that amh overexpression plasmid feeding can induce a female-to-male transition in grouper."
