Pubmed_ID,Title,Author,Source,Abstract
32990306,CYP19A1 (aromatase) dominates female gonadal differentiation in chicken (Gallus gallus) embryos sexual differentiation.,"Jin K, Zuo Q, Song J, Zhang Y, Chen G, Li B",Biosci Rep. 2020 Oct 30;40(10). pii: 226544. doi: 10.1042/BSR20201576.,"Cytochrome P450 Family 19 SubFamily A member 1 (CYP19A1) gene encodes an aromatase which regulates the sexual differentiation in vertebrates by initiating and maintaining 17beta-Estradiol (E2) synthesis. Here, we described the spatiotemporal expression pattern of CYP19A1 and its functional role in the embryonic gonad development in amphoteric chickens (Gallus gallus). Results showed that CYP19A1 exhibited a sexually dimorphic expression pattern in female gonads early at embryonic day 5.5 (HH 28) and robustly expressed within the cytoplasm in ovarian medullas. Most importantly, we induced the gonadal sex reversal by ectopically delivering the aromatase inhibitor (AI) or estradiol (E2) into chicken embryos. To further explore the role of CYP19A1 in chicken embryonic sexual differentiation, we successfully developed an effective method to deliver lentiviral particles with CYP19A1 manipulation into chicken embryos via embryonic intravascular injection. The analysis of interference and overexpression of CYP19A1 provided solid evidences that CYP19A1 is both necessary and sufficient to initiate sex differentiation toward female in chicken embryos. Collectively, this work demonstrates that CYP19A1 is a crucial sex differentiation gene in the embryonic development, which provides a foundation for understanding the mechanism of sex determination and differentiation in chickens."
32194632,Beta-Hydroxysteroid Dehydrogenase Genes in Orange-Spotted Grouper (Epinephelus coioides): Genome-Wide Identification and Expression Analysis During Sex Reversal.,"Xiao L, Guo Y, Wang D, Zhao M, Hou X, Li S, Lin H, Zhang Y",Front Genet. 2020 Mar 4;11:161. doi: 10.3389/fgene.2020.00161. eCollection 2020.,"Beta-hydroxysteroid dehydrogenases (beta-HSDs) are a group of steroidogenic enzymes that are involved in steroid biosynthesis and metabolism, and play a crucial role in mammalian physiology and development, including sex determination and differentiation. In the present study, a genome-wide analysis identified the numbers of beta-hsd genes in orange-spotted grouper (Epinephelus coioides) (19), human (Homo sapiens) (22), mouse (Mus musculus) (24), chicken (Gallus gallus) (16), xenopus (Xenopus tropicalis) (24), coelacanth (Latimeria chalumnae) (17), spotted gar (Lepisosteus oculatus) (14), zebrafish (Danio rerio) (19), fugu (Takifugu rubripes) (19), tilapia (Oreochromis niloticus) (19), medaka (Oryzias latipes) (19), stickleback (Gasterosteus aculeatus) (17) and common carp (Cyprinus carpio) (27) samples. A comparative analysis revealed that the number of beta-hsd genes in teleost fish was no greater than in tetrapods due to gene loss followed by a teleost-specific whole-genome duplication event. Based on transcriptome data from grouper brain and gonad samples during sex reversal, six beta-hsd genes had relatively high expression levels in the brain, indicating that these genes may be required for neurogenesis or the maintenance of specific biological processes in the brain. In the gonad, two and eight beta-hsd genes were up- and downregulated, respectively, indicating their important roles in sex reversal. Our results demonstrated that beta-hsd genes may be involved in the sex reversal of grouper by regulating the synthesis and metabolism of sex steroid hormones."
32155647,Expression Profile of Chicken Sex Chromosome Gene BTF3 is Linked to Gonadal Phenotype.,"Liu L, Fan Y, Zhao D, Ioannidis J, Gong D, Clinton M",Sex Dev. 2019;13(4):212-220. doi: 10.1159/000506344. Epub 2020 Mar 11.,"In birds, the female is heterogametic (ZW) and the male homogametic (ZZ). The small W chromosome comprises only 28 protein coding genes (homologues to Z chromosome counterparts) and a number of repeat regions. Here, we report our analysis of one of these genes, BTF3 (basic transcription factor 3), which exhibits differential expression during gonadogenesis. We measured RNA levels of both Z and W homologues and BTF3 protein levels in male and female gonads during development of the chicken embryo. In addition, BTF3 RNA and protein levels were compared in female gonads (ovary) and in female gonads following treatment to induce sex reversal (testis). Combined BTF3 RNA levels were higher in female gonads than male gonads, while BTF3-Z was expressed at similar levels in males and females. Surprisingly, BTF3 protein levels were higher in male gonads than female gonads at embryonic day 6 (E6), suggesting translational rather than transcriptional regulation. BTF3 protein was expressed in both somatic and germ cells and was restricted to the medulla of the developing ovary in females and the sex cords of the developing testis in males. In addition, in gonadal sex-reversed females, RNA and protein levels of BTF3 were similar to those normally found in male gonads, suggesting that BTF3 expression correlated with the gonadal phenotype."
31063656,The rise and fall of differentiated sex chromosomes in geckos.,"Rovatsos M, Farkacova K, Altmanova M, Johnson Pokorna M, Kratochvil L",Mol Ecol. 2019 Jun;28(12):3042-3052. doi: 10.1111/mec.15126. Epub 2019 Jun 28.,"Amniotes possess variability in sex determination, ranging from environmental sex determination to genotypic sex determination with differentiated sex chromosomes. Differentiated sex chromosomes have emerged independently several times. Their noteworthy convergent characteristic is the evolutionary stability, documented among amniotes in mammals, birds, and some lineages of lizards, snakes and turtles. Combining the analysis of multiple partial transcriptomes with the comparison of copy gene numbers between male and female genomes, we uncovered partial gene content of the highly differentiated ZZ/ZW sex chromosomes in the gecko genus Paroedura. The differentiated ZZ/ZW sex chromosomes of these geckos share genes with the part of the chicken chromosome 4 homologous with the XX/XY sex chromosomes of viviparous mammals and the ZZ/ZW sex chromosomes of lacertid lizards, as well as with the chicken chromosome 15, homologous with the XX/XY sex chromosomes of iguanas and ZZ/ZW sex chromosomes of softshell turtles. Along with other analogous cases, this finding reinforces the observation that particular chromosomes are repeatedly coopted for the function of sex chromosomes in amniotes. Notably, according to the phylogenetic distribution, the subclade of the genus Paroedura represents a rare case of the reversal of the for a considerable evolutionary time highly differentiated ZZ/ZW sex chromosomes back to poorly differentiated state."
31022716,"Cotreatment of IGF1 and Fadrozole Upregulates the Expression of RSPO1, SOX9, and AMH in Chicken Embryos.","Rahaie A, Toghyani M, Eghbalsaied S",Cells Tissues Organs. 2018;206(4-5):218-228. doi: 10.1159/000499079. Epub 2019 Apr 25.,"Insulin-like growth factor-1 (IGF1) and anti-aromatase synergistically increase the rate and stability of female-to-male sex reversal as well as pre- and postnatal weight gains in hatched chickens. This study aimed at assessing gene expression profiles of chicken embryos treated with IGF1 and fadrozole. Day 3.5 fertile eggs were in ovo injected with one of IGF1, fadrozole anti-aromatase, combined IGF1 and fadrozole, or sham injection. The expression profile was studied on day 6 and day 11 of the embryonic development following gonadal differentiation. On day 6 of embryonic development, simultaneous injection of IGF1 and fadrozole significantly upregulated the expression of RSPO1, AMH, and SOX9 in genetically female embryos compared to single injections and control groups. Also, a higher expression of ESR1 and BMP4 was observed in genetically male embryos on day 6 compared to the control group. In day 11 embryos, a higher expression of BMP4 was detected in both males and females of the IGF1 and fadrozole-administered group compared to the sham injection cohort. In conclusion, the results of this study indicate that combined effects of IGF1 and fadrozole induce female-to-male sex reversal by increasing the expression of testis developmental factors rather than attenuating ovary developmental factors."
30369707,The relationship between learning speed and personality is age- and task-dependent in red junglefowl.,"Zidar J, Balogh A, Favati A, Jensen P, Leimar O, Sorato E, Lovlie H",Behav Ecol Sociobiol. 2018;72(10):168. doi: 10.1007/s00265-018-2579-2. Epub 2018 Sep 26.,"Abstract: Cognition is fundamental to animals' lives and an important source of phenotypic variation. Nevertheless, research on individual variation in animal cognition is still limited. Further, although individual cognitive abilities have been suggested to be linked to personality (i.e., consistent behavioral differences among individuals), few studies have linked performance across multiple cognitive tasks to personality traits. Thus, the interplays between cognition and personality are still unclear. We therefore investigated the relationships between an important aspect of cognition, learning, and personality, by exposing young and adult red junglefowl (Gallus gallus) to multiple learning tasks (discriminative, reversal, and spatial learning) and personality assays (novel arena, novel object, and tonic immobility). Learning speed was not correlated across learning tasks, and learning speed in discrimination and spatial learning tasks did not co-vary with personality. However, learning speed in reversal tasks was associated with individual variation in exploration, and in an age-dependent manner. More explorative chicks learned the reversal task faster than less explorative ones, while the opposite association was found for adult females (learning speed could not be assayed in adult males). In the same reversal tasks, we also observed a sex difference in learning speed of chicks, with females learning faster than males. Our results suggest that the relationship between cognition and personality is complex, as shown by its task- and age-dependence, and encourage further investigation of the causality and dynamics of this relationship. Significance statement: In the ancestor of today's chickens, the red junglefowl, we explored how personality and cognition relate by exposing both chicks and adults to several learning tasks and personality assays. Our birds differed in personality and learning speed, while fast learners in one task did not necessarily learn fast in another (i.e., there were no overall ""smarter"" birds). Exploration correlated with learning speed in the more complex task of reversal learning: faster exploring chicks, but slower exploring adult females, learned faster, compared to less explorative birds. Other aspects of cognition and personality did not correlate. Our results suggest that cognition and personality are related, and that the relationship can differ depending on task and age of the animal."
29684809,Simultaneous effects of IGF1 and Fadrozole on parthenogenesis and pluripotency markers in chicken embryo.,"Hajihoseini Z, Eghbalsaied S",Theriogenology. 2018 Jul 1;114:317-323. doi: 10.1016/j.theriogenology.2018.04.009. Epub 2018 Apr 13.,"So far, a synergistic effect was detected between insulin-like growth factor-I (IGF1) and anti-aromatase for sex reversal and pre-/post-natal growth of fertilized chicken embryo. Here, we hypothesized whether the growth and sexual female-to-male reversal effects of IGF1 and an anti-aromatase, Fadrozole, could improve the development of unfertilized, parthenogenetic chicken embryos. Simultaneous administration of IGF1 and Fadrozole increased the percentage of grade A embryos from 1.7% (no injection group) to 70.6%. The expression profile of parthenotes and newly laid fertilized embryos showed that IGF1 and Fadrozole increased SOX2 and NANOG expression, while decreased the TBX3 expression in the parthenogenetic embryos. However, a considerably higher expression of PRDM16, IGF2, NODAL and HDAC2 was observed in the fertilized group compared to the parthenogenetic embryos. In conclusion, chicken sexual determination is initiated at the earliest stage of embryonic development before gonadal differentiation. Combined administration of IGF1 and Fadrozole increased the developmental rate of parthenogenetic embryos. Also, simultaneous supplementation of IGF1 and Fadrozole induced the expression of pluripotency genes with no effect on the expression of growth and differentiation factors."
29191790,Morphological and transcriptomic effects of endocrine modulators on the gonadal differentiation of chicken embryos: The case of tributyltin (TBT).,"Scheider J, Afonso-Grunz F, Jessl L, Hoffmeier K, Winter P, Oehlmann J",Toxicol Lett. 2018 Mar 1;284:143-151. doi: 10.1016/j.toxlet.2017.11.019. Epub 2017 Nov 27.,"Morphological malformations induced by tributyltin (TBT) exposure during embryonic development have already been characterized in various taxonomic groups, but, nonetheless, the molecular processes underlying these changes remain obscure. The present study provides the first genome-wide screening for differentially expressed genes that are linked to morphological alterations of gonadal tissue from chicken embryos after exposure to TBT. We applied a single injection of TBT (between 0.5 and 30pg as Sn/g egg) into incubated fertile eggs to simulate maternal transfer of the endocrine disruptive compound. Methyltestosterone (MT) served as a positive control (30pg/g egg). After 19days of incubation, structural features of the gonads as well as genome-wide gene expression profiles were assessed simultaneously. TBT induced significant morphological and histological malformations of gonadal tissue from female embryos that show a virilization of the ovaries. This phenotypical virilization was mirrored by altered expression profiles of sex-dependent genes. Among these are several transcription and growth factors (e.g. FGF12, CTCF, NFIB), whose altered expression might serve as a set of markers for early identification of endocrine active chemicals that affect embryonic development by transcriptome profiling without the need of elaborate histological analyses."
28980227,Sex-Determining Mechanism in Avians.,Kuroiwa A,Adv Exp Med Biol. 2017;1001:19-31. doi: 10.1007/978-981-10-3975-1_2.,"The sex of birds is determined by inheritance of sex chromosomes at fertilization. The embryo with two Z chromosomes (ZZ) develops into a male; by contrast, the embryo with Z and W chromosomes (ZW) becomes female. Two theories are hypothesized for the mechanisms of avian sex determination that explain how genes carried on sex chromosomes control gonadal differentiation and development during embryogenesis. One proposes that the dosage of genes on the Z chromosome determines the sexual differentiation of undifferentiated gonads, and the other proposes that W-linked genes dominantly determine ovary differentiation or inhibit testis differentiation. Z-linked DMRT1, which is a strong candidate avian sex-determining gene, supports the former hypothesis. Although no candidate W-linked gene has been identified, extensive evidence for spontaneous sex reversal in birds and aneuploid chimeric chickens with an abnormal sex chromosome constitution strongly supports the latter hypothesis. After the sex of gonad is determined by a gene(s) located on the sex chromosomes, gonadal differentiation is subsequently progressed by several genes. Developed gonads secrete sex hormones to masculinize or feminize the whole body of the embryo. In this section, the sex-determining mechanism as well as the genes and sex hormones mainly involved in gonadal differentiation and development of chicken are introduced."
28911174,Sex Reversal and Comparative Data Undermine the W Chromosome and Support Z-linked DMRT1 as the Regulator of Gonadal Sex Differentiation in Birds.,"Hirst CE, Major AT, Ayers KL, Brown RJ, Mariette M, Sackton TB, Smith CA",Endocrinology. 2017 Sep 1;158(9):2970-2987. doi: 10.1210/en.2017-00316.,"The exact genetic mechanism regulating avian gonadal sex differentiation has not been completely resolved. The most likely scenario involves a dosage mechanism, whereby the Z-linked DMRT1 gene triggers testis development. However, the possibility still exists that the female-specific W chromosome may harbor an ovarian determining factor. In this study, we provide evidence that the universal gene regulating gonadal sex differentiation in birds is Z-linked DMRT1 and not a W-linked (ovarian) factor. Three candidate W-linked ovarian determinants are HINTW, female-expressed transcript 1 (FET1), and female-associated factor (FAF). To test the association of these genes with ovarian differentiation in the chicken, we examined their expression following experimentally induced female-to-male sex reversal using the aromatase inhibitor fadrozole (FAD). Administration of FAD on day 3 of embryogenesis induced a significant loss of aromatase enzyme activity in female gonads and masculinization. However, expression levels of HINTW, FAF, and FET1 were unaltered after experimental masculinization. Furthermore, comparative analysis showed that FAF and FET1 expression could not be detected in zebra finch gonads. Additionally, an antibody raised against the predicted HINTW protein failed to detect it endogenously. These data do not support a universal role for these genes or for the W sex chromosome in ovarian development in birds. We found that DMRT1 (but not the recently identified Z-linked HEMGN gene) is male upregulated in embryonic zebra finch and emu gonads, as in the chicken. As chicken, zebra finch, and emu exemplify the major evolutionary clades of birds, we propose that Z-linked DMRT1, and not the W sex chromosome, regulates gonadal sex differentiation in birds."
