Pubmed_ID,Title,Author,Source,Abstract
32425902,Analysis of the Intestinal Flora in Male Versus Female Swamp Eels (Monopterus albus).,"Wang Y, Zhang J, Zhou Q, Wang Z, Gao M, Yang X, Liu Y, Zhang Z, Jiang W, Hu C, Zhang W",Front Microbiol. 2020 Apr 30;11:699. doi: 10.3389/fmicb.2020.00699. eCollection 2020.,"This study aimed to analyze the intestinal flora of male versus female swamp eels, which have the unique characteristic of sex reversal. Same-aged swamp eels from the same parents, kept under the same conditions in terms of environment, diet, etc., were used as the study materials. After breeding for 1 year, 18 healthy swamp eels (nine males and nine females), weighing 39.4 +/- 2.3 g, were selected. The intestinal contents of three swamp eels of the same sex were combined and labeled as follows: FM1-FM3 (n = 3) for females and MM1-MM3 (n = 3) for males. High-throughput sequencing was used to research the v3-v4 region of 16S rDNA in the intestinal flora. The results suggested significant differences in the structure, composition, and diversity of the intestinal flora of male versus female swamp eels. The relative abundances of Actinobacteria and Spirochaetes in female swamp eels were significantly higher (p < 0.05) than in male swamp eels at the phylum level. The relative abundances of Mycobacterium, Bacillus, and Vagococcus in female swamp eels were considerably higher (p < 0.05) than in male swamp eels at the genus level. The Alpha diversity of females was higher than that of males, and the Shannon index of females was also significantly higher (p < 0.05, Tukey's HSD) than that in males. Investigations of Beta diversity, including NMDS ordination, UPGMA cluster analysis, and PLS-DA analysis, showed that female and male swamp eels could be clearly distinguished based on significant differences in intestinal flora between the FM group and the MM group. LEfSe analysis showed that the dominant bacteria were Cetobacterium in male swamp eels and Clostridium_sp_ND2, Mycobacterium, Alphaproteobacteria, and Bacilli in female swamp eels. The results showed dramatic differences in the intestinal flora between the sexes, which indicates the need for a more in-depth study on sex reversal in the future."
32034539,Guppies show sex and individual differences in the ability to inhibit behaviour.,"Lucon-Xiccato T, Bisazza A, Bertolucci C",Anim Cogn. 2020 May;23(3):535-543. doi: 10.1007/s10071-020-01357-4. Epub 2020 Feb 7.,"In humans, individual and sex differences have been long reported for several cognitive tasks and are at least in part due to variability in the function that inhibits behaviour (i.e. inhibitory control). Similar evidence of individual and sex differences in inhibitory abilities is also present in other vertebrates, but is scarce outside primates. Experiments on reversal learning, which requires inhibiting behaviours, suggest that this variability may exist in a teleost fish, the guppy, Poecilia reticulata. We tested this hypothesis by observing guppies in an inhibitory task. Guppies were exposed to unreachable prey inside a transparent tube for six trials. Guppies showed a marked reduction in the number of attempts to catch the prey within the first trial and also over repeated trials. We found a striking sex difference in the capacity to inhibit foraging behaviour. Males attempted to attack the prey twice as often as females and showed negligible improvement over trials. Irrespective of sex, individuals remarkably differed in their performance, with some guppies being systematically more skilled than others across the repeated trials. These results confirm that individual and sex differences in the ability to inhibit behaviour are not restricted to humans and other primates, suggesting that they might be widespread among vertebrates. Variability in inhibitory ability provides an explanation for emerging records of variability in other cognitive tasks in fish."
31998563,Population genetics of swamp eel in the Yangtze River: comparative analyses between mitochondrial and microsatellite data provide novel insights.,"Zhou H, Hu Y, Jiang H, Duan G, Ling J, Pan T, Chen X, Wang H, Zhang Y",PeerJ. 2020 Jan 21;8:e8415. doi: 10.7717/peerj.8415. eCollection 2020.,"The swamp eel (Monopterus albus) is a typical sex reversal fish with high economic value. Several phylogeographic studies have been performed using various markers but comparative research between mitochondrial and nuclear markers is rare. Here, a fine-scale study was performed across six sites along the Yangtze River including three sites on the main stem and three sites from tributaries. A total of 180 swamp eel individuals were collected. Genetic structure and demographic history were explored using data from two mitochondrial genes and eight microsatellite loci. The results revealed the samples from tributary sites formed three separate clades which contained site-specific lineages. Geographic isolation and the habitat patchiness caused by seasonal cutoff were inferred to be the reasons for this differentiation. Strong gene flow was detected among the sites along the main stem. Rapid flow of the river main stem may provide the dynamic for the migration of swamp eel. Interestingly, the comparative analyses between the two marker types was discordant. Mitochondrial results suggested samples from three tributary sites were highly differentiated. However, microsatellite analyses indicated the tributary samples were moderately differentiated. We conclude this discordance is mainly caused by the unique life history of sex reversal fish. Our study provides novel insights regarding the population genetics of sex reversal fish."
31899193,Mummichog (Fundulus heteroclitus) are less sensitive to 17alpha-ethinylestradiol (EE2) than other common model teleosts: A comparative review of reproductive effects.,"Rutherford R, Lister A, Bosker T, Blewett T, Gillio Meina E, Chehade I, Kanagasabesan T, MacLatchy D",Gen Comp Endocrinol. 2020 Apr 1;289:113378. doi: 10.1016/j.ygcen.2019.113378. Epub 2019 Dec 31.,"The environmental estrogen 17alpha-ethinylestradiol (EE2) will depress or completely inhibit egg production in many common model teleosts at low concentrations (</=0.5 ng/L; Runnalls et al., 2015). This inhibition is not seen in the estuarine killifish, or mummichog (Fundulus heteroclitus), even when exposed to 100 ng/L EE2. This relative insensitivity to EE2 exposure indicates species-specific mechanisms for compensating for exogenous estrogenic exposure. This review compares various reproductive responses elicited by EE2 in mummichog to other common model teleosts, such as zebrafish (Danio rerio) and fathead minnow (Pimephales promelas), identifying key endpoints where mummichog differ from other studied fish. For example, EE2 accumulates primarily in the liver/gall bladder of mummichog, which is different than zebrafish and fathead minnow in which accumulation is predominantly in the carcass. Despite causing species-specific differences in fecundity, EE2 has been shown to consistently induce hepatic vitellogenin in males and cause feminization/sex reversal during gonadal differentiation in larval mummichog, similar to other species. In addition, while gonadal steroidogenesis and plasma steroid levels respond to exogenous EE2, it is generally at higher concentrations than observed in other species. In mummichog, production of 17beta-estradiol (E2) by full grown ovarian follicles remains high; unlike other teleost models where E2 synthesis decreases as 17alpha,20beta-dihydroxy-4-prenen-3-on levels increase to induce oocyte maturation. New evidence in mummichog indicates some dissimilarity in gonadal steroidogenic gene expression responses compared to gene expression responses in zebrafish and fathead minnow exposed to EE2. The role of ovarian physiology continues to warrant investigation regarding the tolerance of mummichog to exogenous EE2 exposure. Here we present a comprehensive review, highlighting key biological differences in response to EE2 exposure between mummichog and other commonly used model teleosts."
31446680,Expression patterns of kiss2 and gpr54-2 in Monopterus albus suggest these genes may play a role in sex reversal in fish.,"Yi TL, Pei MT, Yang DQ",FEBS Open Bio. 2019 Oct;9(10):1835-1844. doi: 10.1002/2211-5463.12727. Epub 2019 Sep 10.,"Due to its exceptionally small genome size and protogynous hermaphroditism, Monopterus albus has been proposed as a model for vertebrate sexual development. The Kiss/GPR54 system is a central regulator of sexual development in most vertebrates, but its role in sex reversal remains hypothetical. In contrast to mammals, fishes often possess more than one copy of the kiss and gpr54 genes. Our objectives were to identify all kiss/gpr54 genes in the genome of M. albus and to assess their involvement in sex reversal via their expression patterns (qPCR) in females, males, and intersex specimens. We identified only two genes: kiss2 and gpr54-2. kiss2 expression was extremely high in the gonads of males, intermediate in females, and low in intersex; and reduced in all tissues of intersex. gpr54 expression was also extremely high in the gonads of males, high in intersex, but low in females. gpr54 expression in brain was high in all three sexes. In conclusion, (a) kiss1 has been functionally replaced in M. albus; (b) the functions of gpr54-2 in brain are not sex-specific; (c) kiss2 appears to undergo a 'reset' in the expression during the sex change; and (d) sex-specific expression patterns in the gonads indicate that these two genes may play a role in sex reversal in fish."
31412286,"Estrogen Receptor beta2 Oversees Germ Cell Maintenance and Gonadal Sex Differentiation in Medaka, Oryzias latipes.","Chakraborty T, Mohapatra S, Zhou LY, Ohta K, Matsubara T, Iguchi T, Nagahama Y",Stem Cell Reports. 2019 Aug 13;13(2):419-433. doi: 10.1016/j.stemcr.2019.07.013.,"In vertebrates, estrogen receptors are essential for estrogen-associated early gonadal sex development. Our previous studies revealed sexual dimorphic expression of estrogen receptor beta2 (ERbeta2) during embryogenesis of medaka, and here we investigated the functional importance of ERbeta2 in female gonad development and maintenance using a transgenerational ERbeta2-knockdown (ERbeta2-KD) line and ERbeta2-null mutants. We found that ERbeta2 reduction favored male-biased gene transcription, suppressed female-responsive gene expression, and affected SDF1a and CXCR4b co-assisted chemotactic primordial germ cell (PGC) migration. Co-overexpression of SDF1a and CXXR4b restored the ERbeta2-KD/KO associated PGC mismigration. Further analysis confirmed that curtailment of ERbeta2 increased intracellular Ca(2+) concentration, disrupted intra- and extracellular calcium homeostasis, and instigated autophagic germ cell degradation and germ cell loss, which in some cases ultimately affected the XX female sexual development. This study is expected improve our understanding of germ cell maintenance and sex spectrum, and hence open new avenues for reproductive disorder management."
31140678,Increase of cortisol levels after temperature stress activates dmrt1a causing female-to-male sex reversal and reduced germ cell number in medaka.,"Adolfi MC, Fischer P, Herpin A, Regensburger M, Kikuchi M, Tanaka M, Schartl M",Mol Reprod Dev. 2019 Oct;86(10):1405-1417. doi: 10.1002/mrd.23177. Epub 2019 May 29.,"In vertebrates, there is accumulating evidence that environmental factors as triggers for sex determination and genetic sex determination are not two opposing alternatives but that a continuum of mechanisms bridge those extremes. One prominent example is the model fish species Oryzias latipes which has a stable XX/XY genetic sex determination system, but still responds to environmental cues, where high temperatures lead to female-to-male sex reversal. However, the mechanisms behind are still unknown. We show that high temperatures increase primordial germ cells (PGC) numbers before they reach the genital ridge, which, in turn, regulates the germ cell proliferation. Complete ablation of PGCs led to XX males with germ cell less testis, whereas experimentally increased PGC numbers did not reverse XY genotypes to female. For the underlying molecular mechanism, we provide support for the explanation that activation of the dmrt1a gene by cortisol during early development of XX embryos enables this autosomal gene to take over the role of the male determining Y-chromosomal dmrt1bY."
30936180,The central nervous system acts as a transducer of stress-induced masculinization through corticotropin-releasing hormone B.,"Castaneda Cortes DC, Padilla LFA, Langlois VS, Somoza GM, Fernandino JI",Development. 2019 Apr 23;146(8). pii: dev.172866. doi: 10.1242/dev.172866.,"Exposure to environmental stressors, such as high temperature (HT), during early development of fish induces sex reversal of genotypic females. Nevertheless, the involvement of the brain in this process is not well clarified. In the present work, we investigated the mRNA levels of corticotropin-releasing hormone b (crhb) and its receptors (crhr1 and crhr2), and found that they were upregulated at HT during the crucial period of gonadal sex determination in medaka. In order to clarify their roles in sex reversal, biallelic mutants for crhr1 and crhr2 were produced by CRISPR/Cas9 technology. Remarkably, biallelic mutants of both loci (crhr1 and crhr2) did not undergo female-to-male sex reversal upon exposure to HT. Inhibition of this process in double corticotropin-releasing hormone receptor mutants could be successfully rescued through the administration of the downstream effector of the hypothalamic-pituitary-interrenal axis, cortisol. Taken together, these results reveal for the first time that the CNS acts as a transducer of masculinization induced by thermal stress."
30867123,The genome-wide landscape of small insertion and deletion mutations in Monopterus albus.,"Chen F, Fengling Lai, Luo M, Han YS, Cheng H, Zhou R",J Genet Genomics. 2019 Feb;46(2):75-86. doi: 10.1016/j.jgg.2019.02.002. Epub 2019 Feb 23.,"Insertion and deletion (indel) mutations, which can trigger single nucleotide substitutions on the flanking regions of genes, may generate abundant materials for disease defense, reproduction, species survival and evolution. However, genetic and evolutionary mechanisms of indels remain elusive. We establish a comparative genome-transcriptome-alignment approach for a large-scale identification of indels in Monopterus population. Over 2000 indels in 1738 indel genes, including 1-21 bp deletions and 1-15 bp insertions, were detected. Each indel gene had approximately 1.1 deletions/insertions, and 2-4 alleles in population. Frequencies of deletions were prominently higher than those of insertions on both genome and population levels. Most of the indels led to in frame mutations with multiples of three and majorly occurred in non-domain regions, indicating functional constraint or tolerance of the indels. All indel genes showed higher expression levels than non-indel genes during sex reversal. Slide window analysis of global expression levels in gonads showed a significant positive correlation with indel density in the genome. Moreover, indel genes were evolutionarily conserved and evolved slowly compared to non-indel genes. Notably, population genetic structure of indels revealed divergent evolution of Monopterus population, as bottleneck effect of biogeographic isolation by Taiwan Strait, China."
30787482,Green light irradiation during sex differentiation induces female-to-male sex reversal in the medaka Oryzias latipes.,"Hayasaka O, Takeuchi Y, Shiozaki K, Anraku K, Kotani T",Sci Rep. 2019 Feb 20;9(1):2383. doi: 10.1038/s41598-019-38908-w.,"This study investigated whether irradiation of a specific light wavelength could affect the sex differentiation of fish. We first found that the photoreceptor genes responsible for receiving red, green, and ultraviolet light were expressed in the eyes of medaka during the sex differentiation period. Second, we revealed that testes developed in 15.9% of genotypic females reared under green light irradiation. These female-to-male sex-reversed fish (i.e. neo-males) showed male-specific secondary sexual characteristics and produced motile sperm. Finally, progeny tests using the sperm of neo-males (XX) and eggs of normal females (XX) revealed that all F1 offspring were female, indicating for the first time in animals that irradiation with light of a specific wavelength can trigger sex reversal."
